class,fea18,fea13,fea7,fea12,fea25,fea24,fea10,fea11,fea23,fea17,fea16,fea15,fea8,fea2,fea9,fea4,fea5,fea19,fea21,fea20,fea3,fea22,fea26,fea14,fea1,fea6,27
1.0,0.45952251,5.513e-05,0.00055132,0.00027566,0.03207208,0.46000399,0.00033079,0.00049619,9.635e-05,8.537e-05,0.00104656,0.00027566,0.00022053,0.00033079,0.00049619,0.00011026,0.0001654,0.03179625,9.5e-07,0.004847,5.513e-05,0.00104677,0.00484949,0.00077185,0.00022053,0.0001654,1.58e-06
1.0,0.45815645,0.000361,0.00066183,0.00030083,0.03334477,0.45887258,0.000361,0.0001805,0.00013726,0.00015447,0.00104702,0.00012033,0.000361,0.000361,0.0001805,0.00030083,6.017e-05,0.03279495,5.1e-07,0.00490779,0.0001805,0.00104538,0.00490606,0.000361,0.00042117,0.0,-6e-08
1.0,0.4609721,0.00010232,0.00025581,0.00040929,0.03157371,0.46092572,0.00025581,0.00056277,0.00019485,0.00016468,0.00100218,0.00010232,0.00020464,0.00020464,0.00020464,0.00035813,0.00010232,0.02998489,2.23e-06,0.0047838,0.00040929,0.00100171,0.00478673,0.00071625,0.00035813,5.116e-05,2.9e-06
1.0,0.46167657,0.00022063,0.00049641,0.00016547,0.03063643,0.46059431,0.00011031,0.00033094,7.102e-05,6.927e-05,0.00103395,0.00033094,0.00022063,0.00049641,0.00055157,0.00027578,0.00044125,0.03051651,-1.9e-07,0.00486582,5.516e-05,0.00103497,0.00486705,0.00049641,0.00011031,5.516e-05,1.12e-06
1.0,0.46076009,0.00032962,0.00028253,0.00032962,0.03068589,0.46085327,0.00014126,0.00032962,7.084e-05,4.89e-05,0.00103342,0.00042379,0.00023544,0.00018835,0.00014126,0.00028253,0.00028253,0.03106603,8.4e-07,0.00489836,0.00037671,0.0010238,0.00489527,0.00032962,0.00032962,0.00018835,1.55e-06
1.0,0.46041824,0.00035833,0.00011944,0.00047777,0.03187609,0.46007126,0.00023889,0.00047777,2.9600000000000005e-05,0.00010109,0.00100189,0.00077638,0.00023889,0.00029861,0.0,0.00017916,0.00011944,0.03104372,1.69e-06,0.00490011,0.00047777,0.00099747,0.00489965,0.00023889,0.00011944,0.00011944,9.2e-07
1.0,0.46024826,0.00038751,0.00032292,0.00025834,0.03154852,0.46060539,0.00025834,0.00032292,-3.3e-07,8.305e-05,0.0009878,0.00090419,0.00019375,0.00032292,0.00012917,0.00032292,6.458e-05,0.0311529,4.8e-07,0.00486706,0.00038751,0.00098839,0.00486964,0.00032292,0.00012917,0.0,-1.25e-06
1.0,0.45948538,0.00026594,0.00039891,6.648e-05,0.03129041,0.46073308,0.00019945,0.00033242,0.00010629,0.00012141,0.00103971,0.00033242,0.00039891,0.00046539,0.00046539,0.00033242,6.648e-05,0.03176374,9.2e-07,0.00488349,0.00013297,0.00103358,0.00488691,0.00053188,0.00019945,0.00013297,1.16e-06
1.0,0.45891396,0.00019162,0.00038324,0.00025550000000000003,0.03308424,0.45888685,0.00051099,0.00057487,0.00010242,0.00011394,0.00104806,0.00031937,0.00019162,6.387e-05,0.00019162,0.00012775,0.00025550000000000003,0.03259877,1.55e-06,0.00480408,0.00025550000000000003,0.00104263,0.0048051000000000005,0.00083036,0.00019162,6.387e-05,-5.2e-07
1.0,0.45956492,0.00016973,0.00050919,0.00028288,0.0325999,0.45966832,0.00028288,0.00016973,7.889e-05,7.894e-05,0.0010105,0.00039604,0.00016973,0.00033946,0.00050919,0.00039604,0.00016973,0.03183524,5.4e-07,0.00478677,0.00028288,0.00100839,0.00478487,0.00050919,0.00022631,5.658e-05,2e-08
1.0,0.45882872,0.00016246,0.00032493,0.00027077,0.03298875,0.4591824000000001,0.00043324,0.00016246,2.49e-05,9.173e-05,0.0010232000000000002,0.00054155,0.00021662,0.00016246,0.00021662,0.00032493,0.00032493,0.03259602,1.01e-06,0.0048228,0.00032493,0.00101552,0.00482156,0.00037908,0.00027077,5.415e-05,2.5e-07
1.0,0.45864063,0.00044012,0.00024451,9.78e-05,0.0329419,0.45874171,0.00024451,0.00039122,0.00018738,0.00016077,0.00108375,0.00029341,0.00048902,0.00039122,4.89e-05,0.00044012,0.00029341,0.03268506,1.07e-06,0.0049143,0.00029341,0.00108007,0.00491663,0.00039122,0.00029341,9.78e-05,1.01e-06
1.0,0.45708301,0.00039239,0.00039239,5.606e-05,0.03465478,0.4573554,0.00044844,0.00044844,0.00020179,0.00014817,0.00108672,5.606e-05,0.00033633,0.0005045,0.00033633,0.00033633,0.00022422,0.03405217,7.8e-07,0.00486473,0.00016817,0.00108812,0.0048667,0.00056055,5.606e-05,5.606e-05,1.1e-06
1.0,0.45990332,0.00020593,0.00025741,0.00036038,0.03184773,0.46059609,0.0003089,0.00061779,0.0001132,0.00013333,0.00103486,0.00025741,0.00025741,0.00015445,0.00015445,0.00015445,0.00015445,0.0310054,1.32e-06,0.00484955,0.00036038,0.0010290999999999998,0.00484931,0.00066928,0.00025741,0.00015445,3.36e-06
